ID,Peptide,Gene,LFC Threshold
O14965,STK6_283_295,AURKA,NA
O96001,GSUB_61_73,PPP1R17,NA
P03372,ESR1_160_172,ESR1,NA
P04004,VTNC_390_402,VTN,NA
P07333,CSF1R_701_713,CSF1R,NA
P07550,ADRB2_338_350,ADRB2,NA
P10275,ANDR_785_797,AR,NA
P11388,TOP2A_1463_1475,TOP2A,NA
P13569,CFTR_761_773,CFTR,NA
P13861,KAP2_92_104,PRKAR2A,NA
P14598,NCF1_296_308,NCF1,NA
P16389,KCNA2_442_454,KCNA2,NA
P17658,KCNA6_504_516,KCNA6,NA
P20700,LMNB1_16_28,LMNB1,NA
P22612,KAPCG_192_206,PRKACG,NA
P26842,CD27_212_224,CD27,NA
P29474,NOS3_1171_1183,NOS3,NA
P31323,KAP3_107_119,PRKAR2B,NA
P38936,CDN1A_139_151,CDKN1A,NA
P50552,VASP_271_283,VASP,NA
P62753,RS6_228_240,RPS6,NA
Q05209,PTN12_32_44,PTPN12,NA
Q08999,RBL2_655_667,RBL2,NA
Q13002,GRIK2_708_720,GRIK2,NA
Q13555,KCC2G_278_289,CAMK2G,NA
Q13882,PTK6_436_448,PTK6,NA
Q16288,NTRK3_824_836,NTRK3,NA
Q16875,F263_454_466,PFKFB3,NA
Q71DI3,H32_3_18,H3C13,NA
Q71DI3,H32_3_18,H3C14,NA
Q71DI3,H32_3_18,H3C15,NA
Q92934,BAD_112_124,BAD,NA
Q92934,BAD_69_81,BAD,NA
Q92934,BAD_93_105,BAD,NA
Q99661,KIF2C_105_118_S106G,KIF2C,NA
