,ID,Peptide,Gene,Threshold
1,O14874,BCKD_45_57,BCKDK,abs(LFC) >= 0.5
2,O43602,DCX_49_61,DCX,abs(LFC) >= 0.5
3,P01106,MYC_51_63,MYC,abs(LFC) >= 0.5
4,P03372,ESR1_160_172,ESR1,abs(LFC) >= 0.5
5,P04637,P53_308_323,TP53,abs(LFC) >= 0.5
6,P06400,RB_803_815,RB1,abs(LFC) >= 0.5
7,P06400,RB_774_786,RB1,abs(LFC) >= 0.5
8,P06493,CDC2_154_169,CDK1,abs(LFC) >= 0.5
9,P07333,CSF1R_701_713,CSF1R,abs(LFC) >= 0.5
10,P13569,CFTR_761_773,CFTR,abs(LFC) >= 0.5
11,P21817,RYR1_4317_4329,RYR1,abs(LFC) >= 0.5
12,P22612,KAPCG_192_206,PRKACG,abs(LFC) >= 0.5
13,P29474,NOS3_1171_1183,NOS3,abs(LFC) >= 0.5
14,P29966,MARCS_152_164,MARCKS,abs(LFC) >= 0.5
15,P30304,MPIP1_172_184,CDC25A,abs(LFC) >= 0.5
16,P35612,ADDB_696_708,ADD2,abs(LFC) >= 0.5
17,P38936,CDN1A_139_151,CDKN1A,abs(LFC) >= 0.5
18,P42345,FRAP_2443_2455,MTOR,abs(LFC) >= 0.5
19,P46937,YAP1_121_133,YAP1,abs(LFC) >= 0.5
20,P50552,VASP_271_283,VASP,abs(LFC) >= 0.5
21,P50613,CDK7_163_175,CDK7,abs(LFC) >= 0.5
22,P51955,NEK2_172_184,NEK2,abs(LFC) >= 0.5
23,P51956,NEK3_158_170,NEK3,abs(LFC) >= 0.5
24,P62753,RS6_228_240,RPS6,abs(LFC) >= 0.5
25,Q05209,PTN12_32_44,PTPN12,abs(LFC) >= 0.5
26,Q05586,NMDZ1_890_902,GRIN1,abs(LFC) >= 0.5
27,Q08999,RBL2_655_667,RBL2,abs(LFC) >= 0.5
28,Q13882,PTK6_436_448,PTK6,abs(LFC) >= 0.5
29,Q71DI3,H32_3_18,H3C13,abs(LFC) >= 0.5
30,Q71DI3,H32_3_18,H3C14,abs(LFC) >= 0.5
31,Q71DI3,H32_3_18,H3C15,abs(LFC) >= 0.5
32,Q99661,KIF2C_105_118_S106G,KIF2C,abs(LFC) >= 0.5
