"","ID","Peptide","Gene"
"1","O14874","BCKD_45_57","BCKDK"
"2","O43602","DCX_49_61","DCX"
"3","P01233","CGHB_109_121","CGB3"
"4","P01233","CGHB_109_121","CGB5"
"5","P01233","CGHB_109_121","CGB7"
"6","P01233","CGHB_109_121","CGB8"
"7","P02686","MBP_222_234","MBP"
"8","P03372","ESR1_160_172","ESR1"
"9","P04049","RAF1_253_265","RAF1"
"10","P04637","P53_12_24","TP53"
"11","P04637","P53_308_323","TP53"
"12","P06400","RB_242_254","RB1"
"13","P06400","RB_803_815","RB1"
"14","P06400","RB_350_362","RB1"
"15","P06400","RB_774_786","RB1"
"16","P07333","CSF1R_701_713","CSF1R"
"17","P11388","TOP2A_1463_1475","TOP2A"
"18","P13569","CFTR_730_742","CFTR"
"19","P13569","CFTR_761_773","CFTR"
"20","P13861","KAP2_92_104","PRKAR2A"
"21","P16389","KCNA2_442_454","KCNA2"
"22","P16452","EPB42_241_253","EPB42"
"23","P21817","RYR1_4317_4329","RYR1"
"24","P22001","KCNA3_461_473","KCNA3"
"25","P22612","KAPCG_192_206","PRKACG"
"26","P29966","MARCS_152_164","MARCKS"
"27","P29966","MARCS_160_172","MARCKS"
"28","P31323","KAP3_107_119","PRKAR2B"
"29","P38936","CDN1A_139_151","CDKN1A"
"30","P46937","YAP1_121_133","YAP1"
"31","P50552","VASP_150_162","VASP"
"32","P50552","VASP_232_244","VASP"
"33","P50552","VASP_271_283","VASP"
"34","P50552","pVASP_150_164","VASP"
"35","P51956","NEK3_158_170","NEK3"
"36","Q05209","PTN12_32_44","PTPN12"
"37","Q08999","RBL2_632_644","RBL2"
"38","Q08999","RBL2_959_971","RBL2"
"39","Q08999","RBL2_655_667","RBL2"
"40","Q13002","GRIK2_708_720","GRIK2"
"41","Q13555","KCC2G_278_289","CAMK2G"
"42","Q13882","PTK6_436_448","PTK6"
"43","Q16875","F263_454_466","PFKFB3"
"44","Q99661","KIF2C_105_118_S106G","KIF2C"
