ID,Peptide,Gene,LFC Threshold
O14874,BCKD_45_57,BCKDK,NA
O14965,STK6_283_295,AURKA,NA
O96001,GSUB_61_73,PPP1R17,NA
P03372,ESR1_160_172,ESR1,NA
P06400,RB_803_815,RB1,NA
P06400,RB_242_254,RB1,NA
P06400,RB_774_786,RB1,NA
P06400,RB_350_362,RB1,NA
P07333,CSF1R_701_713,CSF1R,NA
P07550,ADRB2_338_350,ADRB2,NA
P11388,TOP2A_1463_1475,TOP2A,NA
P13569,CFTR_761_773,CFTR,NA
P13861,KAP2_92_104,PRKAR2A,NA
P16452,EPB42_241_253,EPB42,NA
P21817,RYR1_4317_4329,RYR1,NA
P22612,KAPCG_192_206,PRKACG,NA
P29474,NOS3_1171_1183,NOS3,NA
P29966,MARCS_152_164,MARCKS,NA
P29966,MARCS_160_172,MARCKS,NA
P31323,KAP3_107_119,PRKAR2B,NA
P35612,ADDB_706_718,ADD2,NA
P35612,ADDB_696_708,ADD2,NA
P38936,CDN1A_139_151,CDKN1A,NA
P50552,VASP_271_283,VASP,NA
P51956,NEK3_158_170,NEK3,NA
Q05209,PTN12_32_44,PTPN12,NA
Q08999,RBL2_655_667,RBL2,NA
Q13002,GRIK2_708_720,GRIK2,NA
Q13555,KCC2G_278_289,CAMK2G,NA
Q13882,PTK6_436_448,PTK6,NA
Q71DI3,H32_3_18,H3C13,NA
Q71DI3,H32_3_18,H3C14,NA
Q71DI3,H32_3_18,H3C15,NA
Q92934,BAD_112_124,BAD,NA
Q92934,BAD_69_81,BAD,NA
Q92934,BAD_93_105,BAD,NA
Q99661,KIF2C_105_118_S106G,KIF2C,NA
