ID,Peptide,Gene,LFC Threshold
O14874,BCKD_45_57,BCKDK,0.5
O14965,STK6_283_295,AURKA,0.5
O96001,GSUB_61_73,PPP1R17,0.5
P01233,CGHB_109_121,CGB3,0.5
P01233,CGHB_109_121,CGB5,0.5
P01233,CGHB_109_121,CGB7,0.5
P01233,CGHB_109_121,CGB8,0.5
P03372,ESR1_160_172,ESR1,0.5
P04049,RAF1_253_265,RAF1,0.5
P04637,P53_308_323,TP53,0.5
P06400,RB_242_254,RB1,0.5
P06400,RB_803_815,RB1,0.5
P06400,RB_774_786,RB1,0.5
P06493,CDC2_154_169,CDK1,0.5
P07333,CSF1R_701_713,CSF1R,0.5
P11388,TOP2A_1463_1475,TOP2A,0.5
P13569,CFTR_761_773,CFTR,0.5
P16452,EPB42_241_253,EPB42,0.5
P21817,RYR1_4317_4329,RYR1,0.5
P22612,KAPCG_192_206,PRKACG,0.5
P29474,NOS3_1171_1183,NOS3,0.5
P29966,MARCS_152_164,MARCKS,0.5
P29966,MARCS_160_172,MARCKS,0.5
P31323,KAP3_107_119,PRKAR2B,0.5
P35612,ADDB_696_708,ADD2,0.5
P42345,FRAP_2443_2455,MTOR,0.5
P51956,NEK3_158_170,NEK3,0.5
Q05209,PTN12_32_44,PTPN12,0.5
Q08999,RBL2_655_667,RBL2,0.5
Q13002,GRIK2_708_720,GRIK2,0.5
Q13555,KCC2G_278_289,CAMK2G,0.5
Q13882,PTK6_436_448,PTK6,0.5
Q71DI3,H32_3_18,H3C13,0.5
Q71DI3,H32_3_18,H3C14,0.5
Q71DI3,H32_3_18,H3C15,0.5
Q99661,KIF2C_105_118_S106G,KIF2C,0.5
