ID,Peptide,Gene,LFC Threshold
O14965,STK6_283_295,AURKA,0.5
P01106,MYC_51_63,MYC,0.5
P03372,ESR1_160_172,ESR1,0.5
P04049,RAF1_253_265,RAF1,0.5
P04637,P53_12_24,TP53,0.5
P06400,RB_350_362,RB1,0.5
P07333,CSF1R_701_713,CSF1R,0.5
P11388,TOP2A_1463_1475,TOP2A,0.5
P13569,CFTR_761_773,CFTR,0.5
P16220,CREB1_126_138,CREB1,0.5
P16389,KCNA2_442_454,KCNA2,0.5
P19838,NFKB1_330_342,NFKB1,0.5
P20700,LMNB1_16_28,LMNB1,0.5
P22612,KAPCG_192_206,PRKACG,0.5
P38936,CDN1A_139_151,CDKN1A,0.5
P42345,FRAP_2443_2455,MTOR,0.5
P46937,YAP1_121_133,YAP1,0.5
P50552,VASP_271_283,VASP,0.5
P61224,RAP1B_172_184,RAP1B,0.5
P62714,PP2AB_297_309,PPP2CB,0.5
Q01118,SCN7A_898_910,SCN7A,0.5
Q05209,PTN12_32_44,PTPN12,0.5
Q08999,RBL2_655_667,RBL2,0.5
Q13555,KCC2G_278_289,CAMK2G,0.5
Q13882,PTK6_436_448,PTK6,0.5
Q13936,CAC1C_1974_1986,CACNA1C,0.5
Q14896,MYPC3_268_280,MYBPC3,0.5
Q92934,BAD_93_105,BAD,0.5
Q99661,KIF2C_105_118_S106G,KIF2C,0.5
