ID,Peptide,Gene,LFC Threshold
O00168,PLM_76_88,FXYD1,0.4
O14874,BCKD_45_57,BCKDK,0.4
O43602,DCX_49_61,DCX,0.4
P01233,CGHB_109_121,CGB3,0.4
P01233,CGHB_109_121,CGB5,0.4
P01233,CGHB_109_121,CGB7,0.4
P01233,CGHB_109_121,CGB8,0.4
P04626,ERBB2_679_691,ERBB2,0.4
P06493,CDC2_154_169,CDK1,0.4
P07101,TY3H_65_77,TH,0.4
P07333,CSF1R_701_713,CSF1R,0.4
P08567,PLEK_106_118,PLEK,0.4
P14598,NCF1_296_308,NCF1,0.4
P16220,CREB1_126_138,CREB1,0.4
P17658,KCNA6_504_516,KCNA6,0.4
P19838,NFKB1_330_342,NFKB1,0.4
P21817,RYR1_4317_4329,RYR1,0.4
P22001,KCNA3_461_473,KCNA3,0.4
P22612,KAPCG_192_206,PRKACG,0.4
P35612,ADDB_696_708,ADD2,0.4
P46020,KPB1_1011_1023,PHKA1,0.4
P50552,VASP_271_283,VASP,0.4
Q05209,PTN12_32_44,PTPN12,0.4
Q05586,NMDZ1_890_902,GRIN1,0.4
Q08999,RBL2_655_667,RBL2,0.4
Q13002,GRIK2_708_720,GRIK2,0.4
Q13882,PTK6_436_448,PTK6,0.4
Q13936,CAC1C_1974_1986,CACNA1C,0.4
Q14896,MYPC3_268_280,MYBPC3,0.4
Q16875,F263_454_466,PFKFB3,0.4
Q71DI3,H32_3_18,H3C13,0.4
Q71DI3,H32_3_18,H3C14,0.4
Q71DI3,H32_3_18,H3C15,0.4
