ID,Peptide,Gene
O14874,BCKD_45_57,BCKDK
O14965,STK6_283_295,AURKA
O43602,DCX_49_61,DCX
P01106,MYC_51_63,MYC
P02686,MBP_222_234,MBP
P03372,ESR1_160_172,ESR1
P04004,VTNC_390_402,VTN
P04049,RAF1_253_265,RAF1
P04637,P53_12_24,TP53
P04637,P53_308_323,TP53
P06400,RB_803_815,RB1
P06400,RB_774_786,RB1
P06400,RB_242_254,RB1
P06400,RB_350_362,RB1
P06493,CDC2_154_169,CDK1
P06737,PYGL_8_20,PYGL
P07333,CSF1R_701_713,CSF1R
P07550,ADRB2_338_350,ADRB2
P10275,ANDR_785_797,AR
P13569,CFTR_730_742,CFTR
P13569,CFTR_761_773,CFTR
P16452,EPB42_241_253,EPB42
P17658,KCNA6_504_516,KCNA6
P21817,RYR1_4317_4329,RYR1
P22612,KAPCG_192_206,PRKACG
P29474,NOS3_1171_1183,NOS3
P29966,MARCS_152_164,MARCKS
P29966,MARCS_160_172,MARCKS
P30304,MPIP1_172_184,CDC25A
P31749,AKT1_301_313,AKT1
P35612,ADDB_706_718,ADD2
P35612,ADDB_696_708,ADD2
P38936,CDN1A_139_151,CDKN1A
P42345,FRAP_2443_2455,MTOR
P42345,FRAP_2475_2487,MTOR
P46937,YAP1_121_133,YAP1
P47870,GBRB2_427_439,GABRB2
P50552,VASP_271_283,VASP
P50552,VASP_232_244,VASP
P50552,VASP_150_162,VASP
P50552,pVASP_150_164,VASP
P50613,CDK7_163_175,CDK7
P51955,NEK2_172_184,NEK2
P51956,NEK3_158_170,NEK3
P62753,RS6_228_240,RPS6
P62820,RAB1A_187_199,RAB1A
P78527,PRKDC_2618_2630,PRKDC
Q05209,PTN12_32_44,PTPN12
Q05586,NMDZ1_890_902,GRIN1
Q08999,RBL2_632_644,RBL2
Q08999,RBL2_959_971,RBL2
Q08999,RBL2_655_667,RBL2
Q13002,GRIK2_708_720,GRIK2
Q13522,PPR1A_28_40,PPP1R1A
Q13882,PTK6_436_448,PTK6
Q14896,MYPC3_268_280,MYBPC3
Q16288,NTRK3_824_836,NTRK3
Q71DI3,H32_3_18,H3C13
Q71DI3,H32_3_18,H3C14
Q71DI3,H32_3_18,H3C15
Q99661,KIF2C_105_118_S106G,KIF2C
