ID,Peptide,Gene,LFC Threshold
O14874,BCKD_45_57,BCKDK,0.5
O14965,STK6_283_295,AURKA,0.5
P00736,C1R_201_213,C1R,0.5
P01106,MYC_51_63,MYC,0.5
P01233,CGHB_109_121,CGB3,0.5
P01233,CGHB_109_121,CGB5,0.5
P01233,CGHB_109_121,CGB7,0.5
P01233,CGHB_109_121,CGB8,0.5
P04637,P53_12_24,TP53,0.5
P04637,P53_308_323,TP53,0.5
P07333,CSF1R_701_713,CSF1R,0.5
P07550,ADRB2_338_350,ADRB2,0.5
P11388,TOP2A_1463_1475,TOP2A,0.5
P17658,KCNA6_504_516,KCNA6,0.5
P22612,KAPCG_192_206,PRKACG,0.5
P31749,AKT1_301_313,AKT1,0.5
P35612,ADDB_696_708,ADD2,0.5
P38936,CDN1A_139_151,CDKN1A,0.5
P50552,VASP_271_283,VASP,0.5
P50552,VASP_232_244,VASP,0.5
P81274,GPSM2_394_406,GPSM2,0.5
Q13555,KCC2G_278_289,CAMK2G,0.5
Q13882,PTK6_436_448,PTK6,0.5
Q13936,CAC1C_1974_1986,CACNA1C,0.5
Q14896,MYPC3_268_280,MYBPC3,0.5
Q16288,NTRK3_824_836,NTRK3,0.5
Q92934,BAD_112_124,BAD,0.5
Q99661,KIF2C_105_118_S106G,KIF2C,0.5
