Kinase,Score,Rank,Method,Perc,Qrt,hgnc_symbol,group,KinaseFamily,subfamily
AAK1,297,276,KEA3,0.1,1,AAK1,OTHER,"NAK",BIKE
ABL1,50,32,KEA3,0.9,4,ABL1,TK,ABL,NA
ABL2,150.33333333333334,163,KEA3,0.46,2,ABL2,TK,ABL,NA
ACVR1,131,141,KEA3,0.5314285714285715,3,ACVR1,TKL,STKR,TYPE1
ACVR1B,208.5,216,KEA3,0.2857142857142857,2,ACVR1B,TKL,STKR,TYPE1
ACVR2B,213,217,KEA3,0.28285714285714286,2,ACVR2B,TKL,STKR,TYPE2
AKT1,36.666666666666664,19,KEA3,0.9457142857142857,4,AKT1,AGC,AKT,NA
AKT2,89.33333333333333,82,KEA3,0.7257142857142858,3,AKT2,AGC,AKT,NA
AKT3,238,229,KEA3,0.23714285714285716,1,AKT3,AGC,AKT,NA
ALK,35.5,18,KEA3,0.9485714285714286,4,ALK,TK,ALK,NA
ARAF,67,53,KEA3,0.8257142857142857,4,ARAF,TKL,RAF,RAF
ATM,83,71,KEA3,0.7657142857142857,4,ATM,ATYPICAL,PIKK,ATM
ATR,58.333333333333336,40,KEA3,0.8714285714285714,4,ATR,ATYPICAL,PIKK,ATR
AURKA,63.666666666666664,47,KEA3,0.8457142857142858,4,AURKA,OTHER,AUR,NA
AURKB,25.333333333333332,12,KEA3,0.9685714285714285,4,AURKB,OTHER,AUR,NA
AURKC,185.5,205,KEA3,0.32,2,AURKC,OTHER,AUR,NA
AXL,84.5,73,KEA3,0.76,4,AXL,TK,AXL,NA
BLK,257.5,246,KEA3,0.18571428571428572,1,BLK,TK,SRC,SRCB
BMP2K,325,299,KEA3,0.03428571428571429,1,BMP2K,OTHER,"NAK",BIKE
BMPR1A,162.5,174,KEA3,0.42,2,BMPR1A,TKL,STKR,TYPE1
BMPR1B,99,93,KEA3,0.6914285714285714,3,BMPR1B,TKL,STKR,TYPE1
BMPR2,107.5,107,KEA3,0.6371428571428571,3,BMPR2,TKL,STKR,TYPE2
BMX,105.66666666666667,104,KEA3,0.6514285714285715,3,BMX,TK,TEC,NA
BRAF,146,158,KEA3,0.48,2,BRAF,TKL,RAF,RAF
BRSK1,117.66666666666667,119,KEA3,0.6028571428571429,3,BRSK1,CAMK,CAMKL,BRSK
BRSK2,304,283,KEA3,0.08,1,BRSK2,CAMK,CAMKL,BRSK
BTK,59.333333333333336,42,KEA3,0.8628571428571429,4,BTK,TK,TEC,NA
BUB1,145.5,157,KEA3,0.4857142857142857,2,BUB1,OTHER,BUB,NA
CAMK1,147.33333333333334,160,KEA3,0.4714285714285714,2,CAMK1,CAMK,CAMK1,NA
CAMK1D,241,230,KEA3,0.2342857142857143,1,CAMK1D,CAMK,CAMK1,NA
CAMK2A,68.66666666666667,56,KEA3,0.8171428571428572,4,CAMK2A,CAMK,CAMK2,NA
CAMK2B,177.5,198,KEA3,0.3457142857142857,2,CAMK2B,CAMK,CAMK2,NA
CAMK2D,89,81,KEA3,0.7285714285714285,3,CAMK2D,CAMK,CAMK2,NA
