Kinase,Score,Rank,Method,Perc,Qrt,hgnc_symbol,group,KinaseFamily,subfamily
AAK1,292,267,KEA3,0.11428571428571428,1,AAK1,OTHER,"NAK",BIKE
ABL1,29.666666666666668,21,KEA3,0.9257142857142857,4,ABL1,TK,ABL,NA
ABL2,120.66666666666667,103,KEA3,0.6457142857142857,3,ABL2,TK,ABL,NA
ACVR1,110,98,KEA3,0.66,3,ACVR1,TKL,STKR,TYPE1
ACVR1B,183.5,179,KEA3,0.3942857142857143,2,ACVR1B,TKL,STKR,TYPE1
ACVR2B,211,203,KEA3,0.31142857142857144,2,ACVR2B,TKL,STKR,TYPE2
AKT1,22,9,KEA3,0.9714285714285714,4,AKT1,AGC,AKT,NA
AKT2,96.33333333333333,87,KEA3,0.6971428571428572,3,AKT2,AGC,AKT,NA
AKT3,216,207,KEA3,0.3,2,AKT3,AGC,AKT,NA
ALK,118.5,101,KEA3,0.6514285714285715,3,ALK,TK,ALK,NA
ARAF,48,38,KEA3,0.8685714285714285,4,ARAF,TKL,RAF,RAF
ATM,24,12,KEA3,0.9571428571428572,4,ATM,ATYPICAL,PIKK,ATM
ATR,29,20,KEA3,0.9314285714285714,4,ATR,ATYPICAL,PIKK,ATR
AURKA,62.333333333333336,50,KEA3,0.8257142857142857,4,AURKA,OTHER,AUR,NA
AURKB,23.333333333333332,11,KEA3,0.9657142857142857,4,AURKB,OTHER,AUR,NA
AURKC,184.5,181,KEA3,0.38571428571428573,2,AURKC,OTHER,AUR,NA
AXL,186,183,KEA3,0.38,2,AXL,TK,AXL,NA
BLK,254,239,KEA3,0.19428571428571428,1,BLK,TK,SRC,SRCB
BMP2K,323,293,KEA3,0.04,1,BMP2K,OTHER,"NAK",BIKE
BMPR1A,157.5,151,KEA3,0.49142857142857144,2,BMPR1A,TKL,STKR,TYPE1
BMPR1B,86,77,KEA3,0.7371428571428571,3,BMPR1B,TKL,STKR,TYPE1
BMPR2,203.5,197,KEA3,0.33714285714285713,2,BMPR2,TKL,STKR,TYPE2
BMX,74.33333333333333,64,KEA3,0.78,4,BMX,TK,TEC,NA
BRAF,182,177,KEA3,0.4,2,BRAF,TKL,RAF,RAF
BRSK1,221,209,KEA3,0.2885714285714286,2,BRSK1,CAMK,CAMKL,BRSK
BRSK2,299,274,KEA3,0.09428571428571429,1,BRSK2,CAMK,CAMKL,BRSK
BTK,50.666666666666664,42,KEA3,0.8571428571428571,4,BTK,TK,TEC,NA
BUB1,84.5,74,KEA3,0.7457142857142857,3,BUB1,OTHER,BUB,NA
CAMK1,165.66666666666666,157,KEA3,0.4714285714285714,2,CAMK1,CAMK,CAMK1,NA
CAMK1D,233.5,219,KEA3,0.2542857142857143,2,CAMK1D,CAMK,CAMK1,NA
CAMK2A,42.333333333333336,33,KEA3,0.8857142857142857,4,CAMK2A,CAMK,CAMK2,NA
CAMK2B,208,201,KEA3,0.32571428571428573,2,CAMK2B,CAMK,CAMK2,NA
CAMK2D,119,102,KEA3,0.6485714285714286,3,CAMK2D,CAMK,CAMK2,NA
CAMK2G,151,144,KEA3,0.5114285714285715,3,CAMK2G,CAMK,CAMK2,NA
CAMK4,87,79,KEA3,0.7314285714285714,3,CAMK4,CAMK,CAMK1,NA
CAMKK1,71.33333333333333,60,KEA3,0.7914285714285715,4,CAMKK1,OTHER,CAMKK,META
CAMKK2,173,165,KEA3,0.44,2,CAMKK2,OTHER,CAMKK,META
CDC42BPA,270,250,KEA3,0.16285714285714287,1,CDC42BPA,AGC,DMPK,GEK
CDC7,182.5,178,KEA3,0.39714285714285713,2,CDC7,OTHER,CDC7,NA
CDK1,26.5,16,KEA3,0.9428571428571428,4,CDK1,CMGC,CDK,CDC2
CDK11A,331,299,KEA3,0.022857142857142857,1,CDK11A,NA,NA,NA
CDK12,312,285,KEA3,0.06285714285714286,1,CDK12,CMGC,CDK,CRK7
CDK15,236,222,KEA3,0.24571428571428572,1,CDK15,CMGC,CDK,PFTAIRE
CDK16,190,185,KEA3,0.3742857142857143,2,CDK16,CMGC,CDK,PCTAIRE
CDK18,211,203,KEA3,0.31142857142857144,2,CDK18,CMGC,CDK,PCTAIRE
CDK19,267,247,KEA3,0.17142857142857143,1,CDK19,CMGC,CDK,CDK8
CDK2,23,10,KEA3,0.9685714285714285,4,CDK2,CMGC,CDK,CDC2
CDK20,280,258,KEA3,0.14,1,CDK20,CMGC,CDK,CCRK
CDK3,144,134,KEA3,0.5485714285714286,3,CDK3,CMGC,CDK,CDC2
CDK4,35.666666666666664,26,KEA3,0.9085714285714286,4,CDK4,CMGC,CDK,CDK4
CDK5,26.666666666666668,17,KEA3,0.94,4,CDK5,CMGC,CDK,CDK5
CDK6,53.666666666666664,43,KEA3,0.8514285714285714,4,CDK6,CMGC,CDK,CDK4
CDK7,40.666666666666664,32,KEA3,0.8914285714285715,4,CDK7,CMGC,CDK,CDK7
CDK8,198,193,KEA3,0.3485714285714286,2,CDK8,CMGC,CDK,CDK8
CDK9,92.66666666666667,85,KEA3,0.7057142857142857,3,CDK9,CMGC,CDK,CDK9
CDKL3,296,271,KEA3,0.10285714285714286,1,CDKL3,CMGC,CDKL,NA
CDKL5,39,31,KEA3,0.8942857142857142,4,CDKL5,CMGC,CDKL,NA
CHEK1,64.66666666666667,54,KEA3,0.8114285714285714,4,CHEK1,CAMK,CAMKL,CHK1
CHEK2,55.666666666666664,46,KEA3,0.8428571428571429,4,CHEK2,CAMK,RAD53,NA
CHUK,79.66666666666667,70,KEA3,0.7571428571428571,4,CHUK,OTHER,IKK,NA
CLK1,36,27,KEA3,0.9057142857142857,4,CLK1,CMGC,CLK,NA
CLK2,26,15,KEA3,0.9457142857142857,4,CLK2,CMGC,CLK,NA
CLK3,185,182,KEA3,0.38285714285714284,2,CLK3,CMGC,CLK,NA
CLK4,319,291,KEA3,0.045714285714285714,1,CLK4,CMGC,CLK,NA
CSF1R,333,301,KEA3,0.017142857142857144,1,CSF1R,TK,PDGFR,NA
CSK,132,121,KEA3,0.5857142857142857,3,CSK,TK,CSK,NA
CSNK1A1,49.333333333333336,39,KEA3,0.8657142857142858,4,CSNK1A1,CK1,CK1,CK1-A
CSNK1A1L,337,305,KEA3,0.005714285714285714,1,CSNK1A1L,CK1,CK1,CK1-A
CSNK1D,82.33333333333333,73,KEA3,0.7485714285714286,3,CSNK1D,CK1,CK1,CK1-D
CSNK1E,63.666666666666664,52,KEA3,0.82,4,CSNK1E,CK1,CK1,CK1-D
CSNK1G1,214,206,KEA3,0.3028571428571429,2,CSNK1G1,CK1,CK1,CK1-G
CSNK1G2,206.5,200,KEA3,0.32857142857142857,2,CSNK1G2,CK1,CK1,CK1-G
CSNK1G3,228,215,KEA3,0.26571428571428574,2,CSNK1G3,CK1,CK1,CK1-G
CSNK2A1,19.333333333333332,5,KEA3,0.9828571428571429,4,CSNK2A1,CMGC,CK2,NA
CSNK2A2,75.33333333333333,66,KEA3,0.7685714285714286,4,CSNK2A2,CMGC,CK2,NA
DAPK1,153.66666666666666,145,KEA3,0.5085714285714286,3,DAPK1,CAMK,DAPK,DAPK
DAPK3,197,191,KEA3,0.35714285714285715,2,DAPK3,CAMK,DAPK,DAPK
DCLK1,241,227,KEA3,0.22857142857142856,1,DCLK1,CAMK,DCAMKL,NA
DDR1,133.5,123,KEA3,0.58,3,DDR1,TK,DDR,NA
