Kinase Name,Kinase Uniprot ID,Kinase Group,Kinase Family,Mean Significance Score,Mean Specificity Score,Median Final score,Max Final score,Median Kinase Statistic,Mean Kinase Statistic,SD Kinase Statitistic,Median Kinase Change,Mean peptide set size
IKBKE,Q14164,OTHER,IKK,NA,1.7292968395864703,1.853871964321762,2.6989700043360187,-0.3748819389310952,-0.3588013781573297,0.05194693111765421,NA,8
TEX14,Q8IWB6,OTHER,NKF5,NA,2.1085084024035936,1.853871964321762,2.6989700043360187,-0.44586616158535247,-0.525130787267931,0.12115203970236875,NA,4
MAPK13,O15264,CMGC,MAPK,NA,1.6442538569927667,1.6575773191777938,1.7958800173440752,-0.2528646356984108,-0.2626339357377465,0.01183314577822993,NA,20
PDPK1,O15530,AGC,PKB,NA,1.7449927234103404,1.6575773191777938,2.3979400086720375,-0.473113251694405,-0.4598712028036023,0.05209711202923337,NA,4
PRKDC,P78527,Atypical,PIKK,NA,1.596834554002932,1.585026652029182,1.744727494896694,-0.4572116981435458,-0.4572116981435458,0,NA,4
ATR,Q13535,Atypical,PIKK,NA,1.4255830196629804,1.4436974992327127,1.5528419686577808,-0.38659240855305094,-0.38659240855305094,0,NA,5
NEK4,P51957,NEK,NEK,NA,1.3649743018031413,1.3767507096020994,1.494850021680094,-0.4473502584057221,-0.4473502584057221,0,NA,3
TBK1,Q9UHD2,OTHER,IKK,NA,1.2669258455345336,1.3010299956639813,1.3979400086720375,-0.33733951575356835,-0.33528030870600267,0.003882440290005079,NA,6
NPR2,P20594,RGC,RGC,NA,1.3150844246102043,1.2839966563652008,1.6197887582883939,-0.3562802877495468,-0.3774162564514142,0.09260147806693277,NA,5
DCLK3,Q9C098,CAMK,DCAMKL,NA,1.030842097693347,1.0506374092052533,1.0555173278498313,-0.35532466811256497,-0.35532466811256497,0,NA,3
SGK3,Q96BR1,AGC,SGK,NA,0.9441218557503335,1.0268721464003014,1.1191864077192086,-0.255345801962554,-0.2517029659709218,0.05354366197731624,NA,9
TNIK,Q9UKE5,STE,STE20,NA,0.9535751900426356,0.958607314841775,0.9665762445130504,-0.3431310093908482,-0.3431310093908482,0,NA,3
CSNK2A1,P68400,CMGC,CK2,NA,0.9517917879044279,0.9430951486635274,1.0555173278498313,-0.33942097606412097,-0.33942097606412097,0,NA,3
