name,SGK1,AKT1,Presence
FRAP_2443_2455,1,0,SGK1 Only
GBRB2_427_439,1,1,Both
GRIK2_708_720,1,0,SGK1 Only
KCNA6_504_516,1,0,SGK1 Only
NCF1_296_308,1,0,SGK1 Only
PTK6_436_448,1,0,SGK1 Only
RS6_228_240,1,1,Both
RYR1_4317_4329,1,1,Both
VASP_271_283,1,0,SGK1 Only
KCNA2_442_454,1,0,SGK1 Only
ADDB_706_718,0,1,AKT Only
CENPA_1_14,0,1,AKT Only
CSF1R_701_713,0,1,AKT Only
ERBB2_679_691,0,1,AKT Only
H32_3_18,0,1,AKT Only
KIF2C_105_118_S106G,0,1,AKT Only
PPR1A_28_40,0,1,AKT Only
STK6_283_295,0,1,AKT Only
TOP2A_1463_1475,0,1,AKT Only
