entrez_gene_id,hgnc_id,hgnc_symbol,hgnc_name,group,family,subfamily,krsa_id,uka_id,ptmsea_id,kea3_id
84446,HGNC:18994,BRSK1,BR serine/threonine kinase 1,CAMK,CAMKL,BRSK,BRSK,BRSK1,BRSK1_ISO2/BRSK1,BRSK1
9024,HGNC:11405,BRSK2,BR serine/threonine kinase 2,CAMK,CAMKL,BRSK,BRSK,BRSK2,NA,BRSK2
8536,HGNC:1459,CAMK1,calcium/calmodulin dependent protein kinase I,CAMK,CAMK1,NA,CAMK1,CAMK1[ALPHA],CAMK1A/CAMK1,CAMK1
57118,HGNC:19341,CAMK1D,calcium/calmodulin dependent protein kinase ID,CAMK,CAMK1,NA,CAMK1,NA,NA,CAMK1D
57172,HGNC:14585,CAMK1G,calcium/calmodulin dependent protein kinase IG,CAMK,CAMK1,NA,CAMK1,NA,NA,CAMK1G
815,HGNC:1460,CAMK2A,calcium/calmodulin dependent protein kinase II alpha,CAMK,CAMK2,NA,CAMK2,CAMK2[ALPHA],CAMK2A,CAMK2A
816,HGNC:1461,CAMK2B,calcium/calmodulin dependent protein kinase II beta,CAMK,CAMK2,NA,CAMK2,CAMK2[BETA],CAMK2B,CAMK2B
817,HGNC:1462,CAMK2D,calcium/calmodulin dependent protein kinase II delta,CAMK,CAMK2,NA,CAMK2,CAMK2[DELTA],CAMK2D,CAMK2D
818,HGNC:1463,CAMK2G,calcium/calmodulin dependent protein kinase II gamma,CAMK,CAMK2,NA,CAMK2,CAMK2[GAMMA],NA,CAMK2G
814,HGNC:1464,CAMK4,calcium/calmodulin dependent protein kinase IV,CAMK,CAMK1,NA,CAMK1,CAMK4,CAMK4,CAMK4
79012,HGNC:28788,CAMKV,CaM kinase like vesicle associated,CAMK,CAMK-UNIQUE,NA,CAMK,NA,NA,CAMKV
8573,HGNC:1497,CASK,calcium/calmodulin dependent serine protein kinase,CAMK,CASK,NA,CAMK,CASK,CASK,CASK
1111,HGNC:1925,CHEK1,checkpoint kinase 1,CAMK,CAMKL,CHK1,CHK1,CHK1,CHK1/CHEK1,CHEK1
11200,HGNC:16627,CHEK2,checkpoint kinase 2,CAMK,RAD53,NA,RAD53,CHK2,CHK2/CHEK2,CHEK2
1612,HGNC:2674,DAPK1,death associated protein kinase 1,CAMK,DAPK,DAPK,DAPK,DAPK1,DAPK1,DAPK1
23604,HGNC:2675,DAPK2,death associated protein kinase 2,CAMK,DAPK,DAPK,DAPK,DAPK2,NA,DAPK2
1613,HGNC:2676,DAPK3,death associated protein kinase 3,CAMK,DAPK,DAPK,DAPK,DAPK3,DAPK3,DAPK3
9201,HGNC:2700,DCLK1,doublecortin like kinase 1,CAMK,DCAMKL,NA,NA,DCAMKL1,NA,DCLK1
166614,HGNC:19002,DCLK2,doublecortin like kinase 2,CAMK,DCAMKL,NA,NA,NA,NA,DCLK2
85443,HGNC:19005,DCLK3,doublecortin like kinase 3,CAMK,DCAMKL,NA,NA,NA,NA,DCLK3
